"filename", "language", "PHP", "XML", "JavaScript", "CSS", "Less", "SCSS", "Batch", "Shell Script", "comment", "blank", "total"
"/var/www/html/sag/portal/php/obtener_options_rnomina.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 5, 4, 65
"/var/www/html/sag/portal/php/obtiene_deptos_supervisor.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 1, 9, 54
"/var/www/html/sag/portal/php/php_tools.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"/var/www/html/sag/portal/php/prueba_excel.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/var/www/html/sag/portal/php/reporte_incidencias_periodo_n.php", "PHP", 177, 0, 0, 0, 0, 0, 0, 0, 3, 41, 221
"/var/www/html/sag/portal/php/subir_archivo.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
"/var/www/html/sag/portal/php/test.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 1, 8, 53
"/var/www/html/sag/portal/php/time.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"/var/www/html/sag/portal/php/update_incidencias_horario.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 1, 8, 32
"/var/www/html/sag/portal/php/valida_varias_incidencias.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/var/www/html/sag/portal/php/verifica_fecha_captura_incidencias.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 12, 43
"/var/www/html/sag/portal/select2/css/select2.css", "CSS", 0, 0, 0, 427, 0, 0, 0, 0, 0, 58, 485
"/var/www/html/sag/portal/select2/css/select2.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/var/www/html/sag/portal/select2/js/i18n/ar.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/az.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/bg.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/ca.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/cs.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/da.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/de.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/el.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/en.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/es.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/et.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
